canonical_public_id,canonical_name,team_type,source_aliases,notes
club_clube_atletico_mineiro,Clube Atlético Mineiro,senior,Atletico Mineiro|Atlético Mineiro,Canonical Brazilian first-team identity across seasons
club_esporte_clube_bahia,Esporte Clube Bahia,senior,Bahia,Canonical Brazilian first-team identity across seasons
club_botafogo_de_futebol_e_regatas,Botafogo de Futebol e Regatas,senior,Botafogo|Botafogo Rio,Canonical Brazilian first-team identity across seasons
club_clube_atletico_bragantino,Clube Atlético Bragantino,senior,Bragantino,Historical canonical Brazilian first-team identity across seasons
club_sport_club_corinthians_paulista,Sport Club Corinthians Paulista,senior,Corinthians,Canonical Brazilian first-team identity across seasons
club_criciuma_esporte_clube,Criciúma Esporte Clube,senior,Criciuma|Criciúma,Canonical Brazilian first-team identity across seasons
club_cruzeiro_esporte_clube,Cruzeiro Esporte Clube,senior,Cruzeiro,Canonical Brazilian first-team identity across seasons
club_clube_de_regatas_do_flamengo,Clube de Regatas do Flamengo,senior,Flamengo,Canonical Brazilian first-team identity across seasons
club_fluminense_football_club,Fluminense Football Club,senior,Fluminense,Canonical Brazilian first-team identity across seasons
club_gremio_foot_ball_porto_alegrense,Grêmio Foot-Ball Porto-Alegrense,senior,Gremio Porte Alegre|Grêmio,Canonical Brazilian first-team identity across seasons
club_guarani_futebol_clube,Guarani Futebol Clube,senior,Guarani,Canonical Brazilian first-team identity across seasons
club_sport_club_internacional,Sport Club Internacional,senior,Inter Porte Alegre|Internacional,Canonical Brazilian first-team identity across seasons
club_esporte_clube_juventude,Esporte Clube Juventude,senior,Juventude,Canonical Brazilian first-team identity across seasons
club_clube_nautico_capibaribe,Clube Náutico Capibaribe,senior,Nautico|Náutico,Canonical Brazilian first-team identity across seasons
club_sociedade_esportiva_palmeiras,Sociedade Esportiva Palmeiras,senior,Palmeiras,Canonical Brazilian first-team identity across seasons
club_parana_clube,Paraná Clube,senior,Parana|Paraná,Canonical Brazilian first-team identity across seasons
club_paysandu_sport_club_brazil,Paysandu Sport Club,senior,Paysandu,Canonical Pará first-team identity across seasons
club_associacao_atletica_ponte_preta,Associação Atlética Ponte Preta,senior,Ponte Preta,Canonical Brazilian first-team identity across seasons
club_associacao_portuguesa_de_desportos,Associação Portuguesa de Desportos,senior,Portugesa|Portuguesa,Canonical São Paulo first-team identity across seasons
club_clube_do_remo,Clube do Remo,senior,Remo,Canonical Brazilian first-team identity across seasons
club_santos_futebol_clube,Santos Futebol Clube,senior,Santos,Canonical Brazilian first-team identity across seasons
club_uniao_sao_joao_esporte_clube,União São João Esporte Clube,senior,Sao Joao|União São João,Canonical Brazilian first-team identity across seasons
club_sao_paulo_futebol_clube,São Paulo Futebol Clube,senior,Sao Paulo|São Paulo,Canonical Brazilian first-team identity across seasons
club_sport_club_do_recife,Sport Club do Recife,senior,Sport Recife,Canonical Brazilian first-team identity across seasons
club_clube_de_regatas_vasco_da_gama,Clube de Regatas Vasco da Gama,senior,Vasco,Canonical Rio de Janeiro first-team identity across seasons
club_esporte_clube_vitoria,Esporte Clube Vitória,senior,Vitoria|Vitória,Canonical Brazilian first-team identity across seasons
