action,database_slug,source_club_id,canonical_public_id,canonical_name,team_type,notes
link,cm0203_vanilla_original,213,club_sao_paulo_futebol_clube,São Paulo Futebol Clube,senior,CM 02/03 uses the shortened São Paulo FC name
link,cm0304_vanilla_original,213,club_sao_paulo_futebol_clube,São Paulo Futebol Clube,senior,CM 03/04 uses the shortened São Paulo FC name
link,cm0203_vanilla_original,785,club_ac_milan_italy,AC Milan,senior,CM 02/03 club export omits the nation context
link,cm0304_vanilla_original,785,club_ac_milan_italy,AC Milan,senior,CM 03/04 club export omits the nation context
link,cm0203_vanilla_original,558,club_as_monaco,AS Monaco,senior,CM 02/03 adds the FC suffix and omits nation context
link,cm0304_vanilla_original,558,club_as_monaco,AS Monaco,senior,CM 03/04 adds the FC suffix and omits nation context
link,cm9697_vanilla_original,0,club_f_c_barcelona_spain,F.C. Barcelona,senior,CM 96/97 omits punctuation in the FC prefix
link,cm9798_vanilla_original,3372,club_f_c_barcelona_spain,F.C. Barcelona,senior,CM 97/98 omits punctuation in the FC prefix
link,cm9697_vanilla_original,3,club_real_madrid_c_f_spain,Real Madrid C.F.,senior,CM 96/97 uses the shorter Real Madrid name
link,cm9798_vanilla_original,3400,club_real_madrid_c_f_spain,Real Madrid C.F.,senior,CM 97/98 uses the shorter Real Madrid name
link,cm9697_vanilla_original,15,club_galatasaray_sk_turkey,Galatasaray,senior,Canonical display omits later SK suffix
link,cm9798_vanilla_original,3663,club_galatasaray_sk_turkey,Galatasaray,senior,Canonical display omits Istanbul suffix
link,cm9899_vanilla_original,1275,club_galatasaray_sk_turkey,Galatasaray,senior,Canonical display across seasons
link,cm9900_vanilla_original,1409,club_galatasaray_sk_turkey,Galatasaray,senior,Canonical display across seasons
link,cm0001_vanilla_original,2026,club_galatasaray_sk_turkey,Galatasaray,senior,Canonical display omits SK suffix
link,cm0102_vanilla_original,3458,club_galatasaray_sk_turkey,Galatasaray,senior,Canonical display omits SK suffix
link,cm0203_vanilla_original,1424,club_galatasaray_sk_turkey,Galatasaray,senior,Later source omits nation context
link,cm0304_vanilla_original,1423,club_galatasaray_sk_turkey,Galatasaray,senior,Later source omits nation context
link,cm0203_vanilla_original,4738,club_centro_atletico_fenix_uruguay,Fénix,senior,Uruguayan Fénix separated from the ARG-labelled club
link,cm0304_vanilla_original,4728,club_centro_atletico_fenix_uruguay,Fénix,senior,Uruguayan Fénix separated from the ARG-labelled club
link,cm0203_vanilla_original,8365,club_club_atletico_fenix_argentina,Club Atlético Fénix,senior,ARG short-name marker identifies the Argentine club
link,cm0304_vanilla_original,8673,club_club_atletico_fenix_argentina,Club Atlético Fénix,senior,ARG short-name marker identifies the Argentine club
