canonical_public_id,canonical_name,normalized_date_of_birth,source_keys,notes
player_alain_van_lint_belgium_1972,Alain Van Lint,1972-09-26,cm9899_vanilla_original:8660;cm9900_vanilla_original:12979;cm0001_vanilla_original:19604;cm0102_vanilla_original:40177;cm0203_vanilla_original:23462;cm0304_vanilla_original:23792,BDFutbol DFB and sport.de agree on 26 Sep; continuous Anderlecht-Union-Denderleeuw-Turnhout career
player_bouarfa_yahiaoui_netherlands_1976,Bouarfa Yahiaoui,1976-09-16,cm9900_vanilla_original:38409;cm0001_vanilla_original:54321;cm0102_vanilla_original:90164;cm0203_vanilla_original:62617;cm0304_vanilla_original:64040,Transfermarkt gives 16 Sep; continuous Helmond-Eindhoven-Beringen career
player_bulanik_riza_turkey_1976,Rıza Bulanık,1976-03-11,cm0001_vanilla_original:31476;cm0102_vanilla_original:19416;cm0203_vanilla_original:45138;cm0304_vanilla_original:46293,Turkish Football Federation gives 11 Mar; exact Mardinspor and later career continuity
player_chili_spain_1968,Chili,1968-05-08,cm9900_vanilla_original:44454;cm0001_vanilla_original:67493;cm0102_vanilla_original:107570;cm0203_vanilla_original:2096;cm0304_vanilla_original:2023,BDFutbol FBref and Spanish biographical sources agree on 8 May; full name Vicente Allende Barreda
player_craig_coyle_scotland_1980,Craig Coyle,1980-09-06,cm9899_vanilla_original:32314;cm9900_vanilla_original:38458;cm0001_vanilla_original:5457;cm0102_vanilla_original:9916;cm0203_vanilla_original:129475;cm0304_vanilla_original:132865,External player records give 6 Sep; continuous Raith Rovers-Greenock Morton goalkeeper career
player_david_preece_england_1976,David Preece,1976-08-26,cm9697_vanilla_original:3077;cm9798_vanilla_original:27710;cm9899_vanilla_original:15232;cm9900_vanilla_original:21430;cm0001_vanilla_original:31160;cm0102_vanilla_original:57326;cm0203_vanilla_original:110950;cm0304_vanilla_original:114898,Multiple player records agree on 26 Aug; continuous Sunderland-Darlington-Aberdeen goalkeeper career
player_didier_quain_belgium_1960,Didier Quain,1960-12-15,cm9798_vanilla_original:25382;cm9899_vanilla_original:8286;cm9900_vanilla_original:12423;cm0001_vanilla_original:18973;cm0102_vanilla_original:39217,Wikidata Transfermarkt and sport.de agree on 15 Dec; exact RFC Liege-Seraing career
player_dario_brazil_1972,Dário,1972-05-22,cm9899_vanilla_original:41033;cm9900_vanilla_original:53413;cm0001_vanilla_original:83656;cm0102_vanilla_original:129044;cm0203_vanilla_original:117353;cm0304_vanilla_original:121190,Brazilian biography gives 22 May for Divanilson Gonçalves da Silva; continuous America-Santa Cruz-Serra-Fortaleza career
player_dmitry_mikhailov_russia_1976,Dmitry Mikhailov,1976-03-28,cm0001_vanilla_original:20529;cm0102_vanilla_original:42155;cm0203_vanilla_original:49218;cm0304_vanilla_original:50339,Match TV and contemporary Russian Cup lineup give 28 Mar; goalkeeper and club history agree
player_kim_hak_chul_south_korea_1972,Kim Hak-Chul,1972-11-04,cm0102_vanilla_original:700;cm0203_vanilla_original:156908;cm0304_vanilla_original:166454,Transfermarkt and match databases agree on 4 Nov; exact Korean defender career
