canonical_public_id,canonical_name,normalized_date_of_birth,source_keys,notes
player_nihat_turkey_1979,Nihat Kahveci,1979-11-23,cm0001_vanilla_original:77419;cm0102_vanilla_original:118993;cm0203_vanilla_original:8745;cm0304_vanilla_original:8474;cm9899_vanilla_original:39028;cm9900_vanilla_original:51013,Wikidata Q284359; unique token and exact-DOB match across previously split identity components
player_cetin_oguz_turkey_1963,Oğuz Çetin,1963-02-15,cm0102_vanilla_original:117240;cm9697_vanilla_original:4591;cm9798_vanilla_original:15955;cm9899_vanilla_original:39047;cm9900_vanilla_original:51037,Wikidata Q1439300; unique token and exact-DOB match across previously split identity components
player_mehmet_turkey_1966,Mehmet Özdilek,1966-04-01,cm0001_vanilla_original:77253;cm9697_vanilla_original:4496;cm9798_vanilla_original:2671;cm9899_vanilla_original:39052;cm9900_vanilla_original:51046,Wikidata Q1388954; unique token and exact-DOB match across previously split identity components
player_akman_ayhan_turkey_1977,Ayhan Akman,1977-02-23,cm0001_vanilla_original:75739;cm0102_vanilla_original:116768;cm0203_vanilla_original:8741;cm0304_vanilla_original:8470;cm9899_vanilla_original:38975;cm9900_vanilla_original:50926,Wikidata Q448297; unique token and exact-DOB match across previously split identity components
player_murat_sozkesen_turkey_1975,Murat Sözkesen,1975-04-01,cm0001_vanilla_original:38045;cm0102_vanilla_original:65941;cm0203_vanilla_original:7559;cm0304_vanilla_original:7296;cm9899_vanilla_original:39065;cm9900_vanilla_original:51069,Wikidata Q6066791; unique token and exact-DOB match across previously split identity components
player_aksoy_altan_turkey_1976,Altan Aksoy,1976-02-05,cm0001_vanilla_original:75645;cm0102_vanilla_original:116660;cm0203_vanilla_original:7558;cm0304_vanilla_original:7295;cm9899_vanilla_original:38976;cm9900_vanilla_original:50927,Wikidata Q4736141; unique token and exact-DOB match across previously split identity components
player_arslan_volkan_turkey_1978,Volkan Arslan,1978-08-29,cm0001_vanilla_original:16656;cm0102_vanilla_original:120188;cm0203_vanilla_original:120292;cm0304_vanilla_original:123961;cm9899_vanilla_original:38981;cm9900_vanilla_original:50936,Wikidata Q1726558; unique token and exact-DOB match across previously split identity components
player_gulunoglu_nesat_turkey_1979,Neşat Gülünoğlu,1979-01-04,cm0001_vanilla_original:76756;cm0102_vanilla_original:118985;cm0203_vanilla_original:752;cm0304_vanilla_original:725;cm9798_vanilla_original:67357;cm9899_vanilla_original:39019;cm9900_vanilla_original:50999,Wikidata Q1984073; unique token and exact-DOB match across previously split identity components
player_ramazan_tunc_turkey_1975,Ramazan Tunç,1975-09-17,cm0001_vanilla_original:77688;cm0102_vanilla_original:119323;cm0203_vanilla_original:7550;cm0304_vanilla_original:7287;cm9899_vanilla_original:39078;cm9900_vanilla_original:51086,Wikidata Q3418390; unique token and exact-DOB match across previously split identity components
player_baris_deniz_turkey_1977,Deniz Barış,1977-07-02,cm0001_vanilla_original:75787;cm0102_vanilla_original:116822;cm0203_vanilla_original:166010;cm0304_vanilla_original:177483;cm9900_vanilla_original:50945,Wikidata Q671731; unique token and exact-DOB match across previously split identity components
player_alpugan_unal_turkey_1973,Ünal Alpuğan,1973-08-03,cm0001_vanilla_original:75644;cm0102_vanilla_original:120113;cm0203_vanilla_original:165777;cm0304_vanilla_original:177255;cm9900_vanilla_original:50933,Wikidata Q334909; unique token and exact-DOB match across previously split identity components
player_aktas_metin_turkey_1977,Metin Aktaş,1977-08-01,cm0001_vanilla_original:24687;cm0102_vanilla_original:49655;cm0203_vanilla_original:7546;cm0304_vanilla_original:7283;cm9899_vanilla_original:38978;cm9900_vanilla_original:50929,Wikidata Q1323847; unique token and exact-DOB match across previously split identity components
player_timur_yanyali_turkey_1975,Timur Yanyalı,1975-08-26,cm0001_vanilla_original:78176;cm0102_vanilla_original:119937;cm0203_vanilla_original:113941;cm0304_vanilla_original:117851;cm9798_vanilla_original:10345;cm9899_vanilla_original:39092;cm9900_vanilla_original:51106,Wikidata Q7807701; unique token and exact-DOB match across previously split identity components
