database_slug,source_person_id,source_person_unique_id,date_of_birth,trait_key,source_trait_id,source_trait_name,source_bit_index,source_value,mapping_confidence,source_bitmask_hex,source_record_offset,source_person_record_offset,source_person_record_end_offset,mapping_version
fm2005_vanilla_original,121781,2004066,1964-02-26,runs_with_ball_down_left,1,Runs With Ball Down Left,0,1,1.0,421020004009,16328813,16328724,16329033,fm2005-ppm-v1
fm2005_vanilla_original,121781,2004066,1964-02-26,gets_into_opposition_area,4,Gets Into Opposition Area,3,1,1.0,421020004009,16328813,16328724,16329033,fm2005-ppm-v1
fm2005_vanilla_original,121781,2004066,1964-02-26,uses_outside_of_foot,15,Uses Outside Of Foot,14,1,1.0,421020004009,16328813,16328724,16329033,fm2005-ppm-v1
fm2005_vanilla_original,121781,2004066,1964-02-26,moves_ball_to_left_foot_before_dribble_attempt,30,Moves Ball To Left Foot Before Dribble Attempt,29,1,1.0,421020004009,16328813,16328724,16329033,fm2005-ppm-v1
fm2005_vanilla_original,121781,2004066,1964-02-26,tries_long_range_freekicks,37,Tries Long Range Freekicks,36,1,1.0,421020004009,16328813,16328724,16329033,fm2005-ppm-v1
fm2005_vanilla_original,121781,2004066,1964-02-26,gets_crowd_going,42,Gets Crowd Going,41,1,1.0,421020004009,16328813,16328724,16329033,fm2005-ppm-v1
fm2005_vanilla_original,121781,2004066,1964-02-26,likes_to_beat_man_repeatedly,47,Likes To Beat Man Repeatedly,46,1,1.0,421020004009,16328813,16328724,16329033,fm2005-ppm-v1
fm2005_vanilla_original,337,810,1964-04-22,arrives_late_in_opposition_area,32,Arrives Late In Opposition Area,31,1,1.0,000080000000,25096815,25096726,25097075,fm2005-ppm-v1
fm2005_vanilla_original,71571,705283,1964-08-02,plays_with_back_to_goal,19,Plays With Back To Goal,18,1,1.0,000000040000,26498609,26498520,26498796,fm2005-ppm-v1
fm2005_vanilla_original,125808,2018956,1964-09-23,shoots_long,9,Shoots Long,8,1,1.0,000000000100,48061268,48061179,48061464,fm2005-ppm-v1
fm2005_vanilla_original,3751,10284,1965-01-10,dictates_tempo,23,Dictates Tempo,22,1,1.0,000000400000,25233922,25233833,25234142,fm2005-ppm-v1
fm2005_vanilla_original,126230,3100146,1965-02-15,gets_into_opposition_area,4,Gets Into Opposition Area,3,1,1.0,040000000008,53012155,53012066,53012359,fm2005-ppm-v1
fm2005_vanilla_original,126230,3100146,1965-02-15,tries_first_time_shots,43,Tries First Time Shots,42,1,1.0,040000000008,53012155,53012066,53012359,fm2005-ppm-v1
fm2005_vanilla_original,136905,4201505,1965-04-06,marks_opponent_tightly,16,Marks Opponent Tightly,15,1,1.0,000020038000,24976134,24976045,24976351,fm2005-ppm-v1
fm2005_vanilla_original,136905,4201505,1965-04-06,winds_up_opponents,17,Winds Up Opponents,16,1,1.0,000020038000,24976134,24976045,24976351,fm2005-ppm-v1
fm2005_vanilla_original,136905,4201505,1965-04-06,argues_with_officials,18,Argues With Officials,17,1,1.0,000020038000,24976134,24976045,24976351,fm2005-ppm-v1
fm2005_vanilla_original,136905,4201505,1965-04-06,moves_ball_to_left_foot_before_dribble_attempt,30,Moves Ball To Left Foot Before Dribble Attempt,29,1,1.0,000020038000,24976134,24976045,24976351,fm2005-ppm-v1
